Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
219, Room,8.1,2015,1h 58m,R,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,Emma Donoghue,"Brie Larson, Jacob Tremblay, Sean Bridgers"
220, The Terminator,8.1,1984,1h 47m,R,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,James Cameron,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
221, Hotel Rwanda,8.1,2004,2h 1m,PG-13,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,Keir Pearson,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
222, Platoon,8.1,1986,2h,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...Read all",Oliver Stone,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe"
223, Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,2h 23m,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now unde...Read all",Gore Verbinski,Ted Elliott,"Johnny Depp, Geoffrey Rush, Orlando Bloom"
224, La haine,8.1,1995,1h 38m,Not Rated,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
225, Jai Bhim,8.7,2021,2h 44m,Approved,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
226, Before Sunset,8.1,2004,1h 20m,R,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
227, The Best Years of Our Lives,8.1,1946,2h 50m,Approved,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,Robert E. Sherwood,"Myrna Loy, Dana Andrews, Fredric March"
228, The Passion of Joan of Arc,8.1,1928,1h 54m,Passed,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,Joseph Delteil,"Maria Falconetti, Eugene Silvain, André Berley"
229, The Exorcist,8.1,1973,2h 2m,R,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,William Peter Blatty,"Ellen Burstyn, Max von Sydow, Linda Blair"
230, The Wizard of Oz,8.1,1939,1h 42m,G,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can retur...Read all",Victor Fleming,King Vidor,"Judy Garland, Frank Morgan, Ray Bolger"
231, Rush,8.1,2013,2h 3m,R,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",Ron Howard,Peter Morgan,"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
232, The Incredibles,8.0,2004,1h 55m,PG,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
233, Network,8.1,1976,2h 1m,R,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,Paddy Chayefsky,"Faye Dunaway, William Holden, Peter Finch"
234, Stand by Me,8.1,1986,1h 29m,R,A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,Stephen King,"Wil Wheaton, River Phoenix, Corey Feldman"
235, Hachi: A Dog's Tale,8.1,2009,1h 33m,G,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g...Read all",Lasse Hallström,Stephen P. Lindsey,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
236, A Man Escaped,8.2,1956,1h 41m,Not Rated,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,Robert Bresson,André Devigny,"François Leterrier, Charles Le Clainche, Maurice Beerblock"
237, The Sound of Music,8.1,1965,2h 52m,G,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,Georg Hurdalek,"Julie Andrews, Christopher Plummer, Eleanor Parker"
238, My Father and My Son,8.2,2005,1h 52m,Not Rated,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
239, The Handmaiden,8.1,2016,2h 25m,Not Rated,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindle...Read all",Park Chan-wook,Sarah Waters,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
240, To Be or Not to Be,8.1,1942,1h 39m,Approved,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,Melchior Lengyel,"Carole Lombard, Jack Benny, Robert Stack"
241, The Battle of Algiers,8.1,1966,2h 1m,Not Rated,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,Franco Solinas,"Brahim Hadjadj, Jean Martin, Yacef Saadi"
242, Into the Wild,8.1,2007,2h 28m,R,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ...Read all",Sean Penn,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener"
243, The Iron Giant,8.1,1999,1h 26m,PG,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,Tim McCanlies,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
244, The Grapes of Wrath,8.1,1940,2h 9m,Approved,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great...Read all",John Ford,Nunnally Johnson,"Henry Fonda, Jane Darwell, John Carradine"
245, Groundhog Day,8.0,1993,1h 41m,PG,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,Danny Rubin,"Bill Murray, Andie MacDowell, Chris Elliott"
246, Amores Perros,8.0,2000,2h 34m,R,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,Guillermo Arriaga,"Emilio Echevarría, Gael García Bernal, Goya Toledo"
247, Rebecca,8.1,1940,2h 10m,Approved,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,Daphne Du Maurier,"Laurence Olivier, Joan Fontaine, George Sanders"
248, The Help,8.1,2011,2h 26m,PG-13,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th...Read all",Tate Taylor,Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer"
249, Cool Hand Luke,8.0,1967,2h 7m,Approved,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,Donn Pearce,"Paul Newman, George Kennedy, Strother Martin"
250, A Silent Voice: The Movie,8.1,2016,2h 10m,Not Rated,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed...Read all",Taichi Ishidate,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki"
