Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
138, Shutter Island,8.2,2010,2h 18m,R,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese,Laeta Kalogridis,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
139, All About Eve,8.2,1950,2h 18m,Approved,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
140, There Will Be Blood,8.2,2007,2h 38m,R,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
141, Jurassic Park,8.2,1993,2h 7m,PG-13,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in...Read all",Steven Spielberg,Michael Crichton,"Sam Neill, Laura Dern, Jeff Goldblum"
142, Casino,8.2,1995,2h 58m,R,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,Nicholas Pileggi,"Robert De Niro, Sharon Stone, Joe Pesci"
143, Top Gun: Maverick,8.2,2022,2h 10m,PG-13,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,Jim Cash,"Tom Cruise, Jennifer Connelly, Miles Teller"
144, The Sixth Sense,8.2,1999,1h 47m,PG-13,A child psychologist starts treating a young boy with a disturbing secret.,M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
145, Ran,8.2,1985,2h 40m,R,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...Read all",Akira Kurosawa,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
146, Pan's Labyrinth,8.2,2006,1h 58m,R,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalt...Read all",Guillermo del Toro,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
147, No Country for Old Men,8.2,2007,2h 2m,R,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,Ethan Coen,Joel Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin"
148, Unforgiven,8.2,1992,2h 10m,R,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Clint Eastwood,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman"
149, The Thing,8.2,1982,1h 49m,R,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,Bill Lancaster,"Kurt Russell, Wilford Brimley, Keith David"
150, A Beautiful Mind,8.2,2001,2h 15m,PG-13,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a...Read all",Ron Howard,Akiva Goldsman,"Russell Crowe, Ed Harris, Jennifer Connelly"
151, Kill Bill: Vol,8.2,2003,1h 51m,R,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
152, The Treasure of the Sierra Madre,8.2,1948,2h 6m,Approved,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
153, Yojimbo,8.2,1961,1h 50m,Not Rated,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
154, The Wild Robot,8.3,2024,1h 42m,PG,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby ...Read all",Chris Sanders,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
155, Prisoners,8.2,2013,2h 33m,R,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead ...Read all",Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
156, Finding Nemo,8.2,2003,1h 40m,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,Lee Unkrich,"Albert Brooks, Ellen DeGeneres, Alexander Gould"
157, The Great Escape,8.2,1963,2h 52m,Approved,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,John Sturges,Paul Brickhill,"Steve McQueen, James Garner, Richard Attenborough"
158, Monty Python and the Holy Grail,8.2,1975,1h 31m,PG,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,Terry Jones,"Graham Chapman, John Cleese, Eric Idle"
159, Howl's Moving Castle,8.2,2004,1h 59m,PG,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...Read all",Hayao Miyazaki,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
160, The Elephant Man,8.2,1980,2h 4m,PG,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...Read all",David Lynch,Christopher De Vore,"Anthony Hopkins, John Hurt, Anne Bancroft"
161, Rashomon,8.2,1950,1h 28m,Not Rated,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,Ryûnosuke Akutagawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
162, Dial M for Murder,8.2,1954,1h 45m,PG,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,Frederick Knott,"Ray Milland, Grace Kelly, Robert Cummings"
163, Gone with the Wind,8.2,1939,3h 58m,G,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi...Read all,Victor Fleming,George Cukor,"Clark Gable, Vivien Leigh, Thomas Mitchell"
164, Chinatown,8.1,1974,2h 10m,R,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,Robert Towne,"Jack Nicholson, Faye Dunaway, John Huston"
165, Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.8,2021,1h 27m,N/A,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help kee...Read all,Haruo Sotozaki,Koyoharu Gotouge,N/A
166, The Secret in Their Eyes,8.2,2009,2h 9m,R,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi...Read all,Juan José Campanella,Eduardo Sacheri,"Ricardo Darín, Soledad Villamil, Pablo Rago"
167," Lock, Stock and Two Smoking Barrels",8.1,1998,1h 47m,R,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran"
168, Inside Out,8.1,2015,1h 35m,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and...Read all",Pete Docter,Ronnie Del Carmen,"Amy Poehler, Bill Hader, Lewis Black"
169, V for Vendetta,8.1,2005,2h 12m,R,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,Lilly Wachowski,"Hugo Weaving, Natalie Portman, Rupert Graves"
170," Three Billboards Outside Ebbing, Missouri",8.1,2017,1h 55m,R,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell"
171, Raging Bull,8.1,1980,2h 9m,R,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,Jake LaMotta,"Robert De Niro, Cathy Moriarty, Joe Pesci"
172, Klaus,8.2,2019,1h 36m,PG,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...Read all",Sergio Pablos,Carlos Martínez López,"Jason Schwartzman, J.K. Simmons, Rashida Jones"
173, The Bridge on the River Kwai,8.1,1957,2h 41m,PG,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...Read all",David Lean,Pierre Boulle,"William Holden, Alec Guinness, Jack Hawkins"
174, Trainspotting,8.1,1996,1h 33m,R,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,Irvine Welsh,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
175, Catch Me If You Can,8.1,2002,2h 21m,PG-13,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,Frank Abagnale Jr.,"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
176, Fargo,8.1,1996,1h 38m,R,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,Ethan Coen,"William H. Macy, Frances McDormand, Steve Buscemi"
177, Warrior,8.1,2011,2h 20m,PG-13,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...Read all",Gavin O'Connor,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton"
178, Spider-Man: No Way Home,8.2,2021,2h 28m,PG-13,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",Jon Watts,Chris McKenna,"Tom Holland, Zendaya, Benedict Cumberbatch"
179, Gran Torino,8.1,2008,1h 56m,R,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood,Nick Schenk,"Clint Eastwood, Bee Vang, Christopher Carley"
180, Harry Potter and the Deathly Hallows: Part 2,8.1,2011,2h 10m,PG-13,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",David Yates,Steve Kloves,"Daniel Radcliffe, Emma Watson, Rupert Grint"
181, Million Dollar Baby,8.1,2004,2h 12m,PG-13,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close...Read all",Clint Eastwood,Paul Haggis,"Hilary Swank, Clint Eastwood, Morgan Freeman"
182, My Neighbor Totoro,8.1,1988,1h 26m,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
183, Mad Max: Fury Road,8.1,2015,2h,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named ...Read all",George Miller,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult"
184, Ben-Hur,8.1,1959,3h 32m,G,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler,Lew Wallace,"Charlton Heston, Jack Hawkins, Stephen Boyd"
185, Children of Heaven,8.2,1997,1h 29m,PG,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
186, Barry Lyndon,8.1,1975,3h 5m,PG,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee"
187, 12 Years a Slave,8.1,2013,2h 14m,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,John Ridley,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
188, Blade Runner,8.1,1982,1h 57m,R,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,Hampton Fancher,"Harrison Ford, Rutger Hauer, Sean Young"
189, Before Sunrise,8.1,1995,1h 41m,R,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert"
190, The Grand Budapest Hotel,8.1,2014,1h 39m,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,Stefan Zweig,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
191, Hacksaw Ridge,8.1,2016,2h 19m,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit...Read all",Mel Gibson,Robert Schenkkan,"Andrew Garfield, Sam Worthington, Luke Bracey"
192, Dead Poets Society,8.1,1989,2h 8m,PG,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel...Read all",Peter Weir,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
193, Gone Girl,8.1,2014,2h 29m,R,The husband of a missing woman becomes the chief suspect in her disappearance.,David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
194, Memories of Murder,8.1,2003,2h 12m,Not Rated,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
195, Maharaja,8.5,2024,2h 21m,N/A,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...Read all",Nithilan Saminathan,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
